1897,5,8,6,1972
1897,5,8,7,1729
1897,5,8,8,1393
1897,5,8,9,1088
1897,5,8,10,784
1897,5,8,11,631
1897,5,8,12,723
1897,5,8,13,936
1897,5,8,14,1149
1897,5,8,15,1424
1897,5,8,16,1729
1897,5,8,17,1911
1897,5,8,18,1972
1897,5,8,19,1881
1897,5,8,20,1546
1897,5,8,21,1119
1897,5,8,22,753
1897,5,8,23,509
1897,5,9,0,479
1897,5,9,1,662
1897,5,9,2,936
1897,5,9,3,1302
1897,5,9,4,1698
1897,5,9,5,1972
1897,5,9,6,2125
1897,5,9,7,2033
1897,5,9,8,1729
1897,5,9,9,1363
1897,5,9,10,997
1897,5,9,11,723
1897,5,9,12,570
1897,5,9,13,631
1897,5,9,14,845
1897,5,9,15,1119
1897,5,9,16,1454
1897,5,9,17,1759
1897,5,9,18,1942
1897,5,9,19,1972
1897,5,9,20,1820
1897,5,9,21,1546
1897,5,9,22,1241
1897,5,9,23,967
1897,5,10,0,753
1897,5,10,1,723
1897,5,10,2,875
1897,5,10,3,1149
1897,5,10,4,1485
1897,5,10,5,1820
1897,5,10,6,2155
1897,5,10,7,2216
1897,5,10,8,2155
1897,5,10,9,1850
1897,5,10,10,1454
1897,5,10,11,1058
1897,5,10,12,753
1897,5,10,13,540
1897,5,10,14,540
1897,5,10,15,723
1897,5,10,16,1058
1897,5,10,17,1393
1897,5,10,18,1729
1897,5,10,19,1942
1897,5,10,20,2003
1897,5,10,21,1881
1897,5,10,22,1546
1897,5,10,23,1210
1897,5,11,0,875
1897,5,11,1,631
1897,5,11,2,570
1897,5,11,3,723
1897,5,11,4,997
1897,5,11,5,1332
1897,5,11,6,1698
1897,5,11,7,1972
1897,5,11,8,2125
1897,5,11,9,2003
1897,5,11,10,1698
1897,5,11,11,1302
1897,5,11,12,906
1897,5,11,13,540
1897,5,11,14,357
1897,5,11,15,387
1897,5,11,16,570
1897,5,11,17,967
1897,5,11,18,1363
1897,5,11,19,1759
1897,5,11,20,2003
1897,5,11,21,2094
1897,5,11,22,1911
1897,5,11,23,1576
1897,5,12,0,1210
1897,5,12,1,845
1897,5,12,2,540
1897,5,12,3,448
1897,5,12,4,570
1897,5,12,5,906
1897,5,12,6,1302
1897,5,12,7,1698
1897,5,12,8,1972
1897,5,12,9,2125
1897,5,12,10,2003
1897,5,12,11,1698
1897,5,12,12,1271
1897,5,12,13,814
1897,5,12,14,418
1897,5,12,15,296
1897,5,12,16,326
1897,5,12,17,631
1897,5,12,18,1088
1897,5,12,19,1546
1897,5,12,20,1972
1897,5,12,21,2216
1897,5,12,22,2216
1897,5,12,23,2033
1897,5,13,0,1668
1897,5,13,1,1241
1897,5,13,2,814
1897,5,13,3,448
1897,5,13,4,265
