"","u","s","xi0","xi1"
"1",589.428773549465,146.598200519789,1.45711046396228,-1.61423300557717
"2",542.707528786773,120.779019848327,1.37722999949408,-0.952548537920297
"3",536.687646662513,129.054676465232,0.408787705183886,0.400390806482296
"4",540.068724913167,109.660093504515,1.27387867520436,-1.31765921238673
"5",571.659214633708,140.335560031124,1.05381400465091,-0.753099344695994
"6",533.546846232738,101.496647268957,1.70423253827939,-2.10881302853891
"7",554.380175244997,124.539384587064,0.44755226594734,0.0465175288250916
"8",556.694564246358,167.997159435754,1.94110926055313,-1.7885606426669
"9",580.025735786839,133.727877947729,1.34613818919911,-1.49337047529176
"10",551.845074077548,130.820589084891,1.15087529738009,-0.338174785267995
"11",540.003137067286,98.8866812795364,0.681836452461592,-0.358579439062651
"12",569.9524232049,129.79574655701,0.914337267806127,-0.676312419553467
"13",534.54359825319,134.642356713388,2.08565008181619,-1.86626632224582
"14",597.300850309314,136.973445151717,0.996864292248457,-1.12404235662996
"15",581.418981389818,158.229028578524,0.896190522303057,-0.894108593305035
"16",550.454503986545,97.9300985985016,1.32507312584051,-1.36525523373979
"17",572.764816896751,117.188393473934,0.602519789243394,-0.41196777598208
"18",587.634330386439,160.671978602658,1.73227799649041,-2.39260969643474
"19",569.286270309733,127.466351879993,1.11123447203524,-0.726562027055012
"20",571.83570019631,136.431071517408,1.5751572973973,-1.71477409038114
"21",553.970528217034,112.377475772288,1.44776638400661,-1.66807608654377
"22",566.668063899375,155.633077550213,1.98223129098589,-2.19701582457032
"23",552.333341364984,119.770217195887,0.908306362814708,-0.859754945592704
"24",557.836892103257,115.647354568463,0.508019278380662,-0.265818322872451
"25",560.120576477387,96.8665108902126,0.822947460700099,-0.509619920116668
"26",598.244188681107,158.529747022946,1.49358542639457,-1.84568119066595
"27",564.274582352323,124.034348792946,0.451885776059341,-0.0941374080179389
"28",578.907159804087,177.598250847189,1.78309536811256,-1.30861957225963
"29",544.237885802798,138.808937179915,1.91278390315321,-1.16200565384174
"30",542.838699017513,87.4248840327001,1.25916253092666,-0.978840541520413
"31",567.896892463606,123.360929755779,1.45283334076852,-1.71904192376756
"32",550.105124948623,103.858035471816,0.725548821296508,-0.451603844776413
"33",555.15430697452,102.507776074885,1.10569005241075,-0.974051928139774
"34",543.463913615404,102.582950184951,0.734611690926411,-0.117617445030497
"35",533.399190481532,99.3524708487949,1.13074697698659,-0.703550120857514
"36",547.574679335169,103.785985268866,0.954106841853872,-0.836425966691292
"37",544.750081217232,114.780529295451,1.77051583183052,-1.76237880455383
"38",556.088495501628,141.387619995227,1.55583684615705,-1.26014959493045
"39",575.875058517859,138.610184223111,1.45086927555099,-1.26676504825
"40",546.374306197014,131.959181132967,0.902303436357202,-0.383938924873918
"41",581.320814726627,135.593178657066,1.2909339642986,-1.50889008626287
"42",543.100237726419,157.133443525408,2.21066531406807,-2.04584730974038
"43",541.872044888028,133.462989582131,1.60511105257564,-2.06727115813546
"44",546.630843043981,107.388782420949,0.261171567713152,0.339470287118508
"45",528.492656969395,99.7137030551977,1.62953448107621,-1.9437690255106
"46",555.170144058485,139.95191192803,1.24281455384002,-0.837250560652605
"47",549.784325090486,94.966154375836,1.12971894706984,-0.955264889128747
"48",530.590518268204,91.9032559396536,1.24715284914247,-1.08395878174744
"49",547.87180790886,126.771752242691,2.2022157729623,-2.77795800383013
"50",552.730658891719,105.752932506533,0.688282670685157,-0.305970308612212
"51",602.832967896654,161.661183625611,1.2236007715389,-0.989611208052381
"52",555.207138037635,103.233025036997,0.913450564480587,-0.470811470427385
"53",563.858181541686,128.857499134388,1.13608737562579,-1.02363546643843
"54",546.534822897906,122.702563134125,0.981630395660406,-0.537547030420931
"55",555.749165294584,120.405736986334,0.998464476307644,-0.801366587343235
"56",582.111915319152,146.263218762401,1.34838917323577,-1.57763878359949
"57",505.703412631998,66.6875883948084,1.15379709475959,-0.840168551829983
"58",540.373070339814,121.64685599833,0.977133702733251,-0.459831258130948
"59",578.362452890527,155.776886209546,1.30514595522532,-1.18167252581802
"60",554.468468080285,123.314810378879,1.24480554224618,-1.30413213201476
"61",548.283650525671,127.019939736044,1.16709294279361,-0.770669562978096
"62",585.61583473555,164.948903767608,0.712658854429517,-0.338861685840449
"63",593.349571064471,145.123844436405,1.10972227734179,-1.28839812218254
"64",573.106149218115,130.432102098847,0.674487883245777,-0.505127615412656
"65",533.261633272699,94.2249788329302,0.763658781067311,-0.502832269685694
"66",528.591465794617,88.1168819514991,0.56818496160533,-0.525264840575343
"67",564.40017228372,187.775516233103,2.52393972881623,-2.99386213007721
"68",548.461471615579,108.916188149137,1.32092650004475,-1.63059096213816
"69",527.434682069852,113.766004944721,2.13527544598749,-2.46380666578907
"70",580.487259304262,170.937625252157,1.64934001129859,-1.79785376697258
