"","u0","u1","s","xi"
"1",624.369686362115,-128.54660445757,141.714470312632,0.680425119904635
"2",554.92182392944,-69.5473888103583,78.0580307006564,0.747987675519142
"3",582.404429475966,-37.3286590279047,108.176718496625,0.462828768783514
"4",581.181587428475,-119.718666011852,87.2861053890825,0.579377128142301
"5",629.722530551253,-118.496545090932,143.727211382793,0.717335821502699
"6",546.958508558253,-49.146609692876,119.872891124849,0.494262108621639
"7",604.097503964192,-101.960490191526,104.502727332661,0.410578446036306
"8",578.564137168436,-36.8711198160658,130.964290987679,0.798556678202641
"9",609.179082805844,-100.835163275971,145.425490352152,0.63120349469075
"10",576.866409947163,-62.7177593861923,115.891346163104,0.752216134569404
"11",552.545867745067,-50.2804662956058,73.0499414603763,0.644574671112591
"12",551.13468135566,-12.7314696160591,109.626183681448,0.427788037125645
"13",566.510069890252,-44.0672646775048,129.258281334574,0.716676928307925
"14",610.075689739421,-128.688893730812,117.440593596158,0.780201675482194
"15",671.620795414419,-239.156968388047,121.284846422144,0.286897091526787
"16",608.342375512447,-129.521629083849,97.4125028009794,0.716603468325721
"17",601.599445684451,-118.149599989482,97.7420120962834,0.604398382630907
"18",590.079983977308,-83.1782297663109,149.16211631373,1.37880591554198
"19",591.632803694346,-79.290781717849,124.041283515882,1.01704462060202
"20",618.113380854314,-108.390246087495,147.428045523588,0.380342910171075
"21",629.432868067792,-179.135059968603,143.126755095409,0.47547972341961
"22",631.39652970729,-81.2038113729127,160.84320352669,0.765000618023352
"23",547.338550442094,-45.0090783371783,98.0120152730153,0.432339827809941
"24",572.280800504539,-96.370481025105,119.005809784388,0.864541828131351
"25",575.362846149673,-104.128657455183,95.2870156105733,0.846984682287775
"26",638.014780275171,-130.171326633173,155.579788071626,0.668009406105783
"27",595.798724121916,-123.818507323072,86.3712663480241,0.433813888538288
"28",599.687340940254,-116.526965172977,141.371470366816,0.937098502025546
"29",577.337545092643,-83.7239737602639,121.634296748493,1.06939662274575
"30",564.604006081345,-83.2176935706802,81.39612221819,0.968283183610354
"31",612.709358582572,-100.690798992731,155.056729713799,0.706500812304784
"32",613.439790603178,-162.036313371001,88.1571742931732,0.546935320396573
"33",593.925559194074,-130.266987132162,117.803790766912,0.874064637968899
"34",610.360818919499,-136.213332541939,98.6257617297563,0.625991939776724
"35",572.242655141919,-74.4986618491961,95.7341262366429,0.931056838798346
"36",596.95976214296,-113.650428290802,114.152805949471,0.329980728436095
"37",572.38951015397,-103.719573153929,115.696105558242,0.598340644374482
"38",566.997689418268,-28.2134744158354,122.018254452767,0.377599819689633
"39",626.100267916146,-221.784908181181,130.137737637728,0.811941635807517
"40",588.793691183276,-85.1051433654586,96.9234655273512,0.732744560648298
"41",619.59924077272,-93.780378117903,178.171252198282,1.01300461367927
"42",560.104549212409,-16.0710205816301,123.414036253845,0.390244622306744
"43",529.937576762066,-19.7922900623319,95.4159231463033,0.625209872044102
"44",567.57012351925,-94.6046148433147,70.1836258007503,0.661200569079067
"45",545.564509009612,-30.783530334742,127.88059327666,0.742816933464603
"46",603.907746165087,-67.9230392700733,103.77764764655,0.41221340036744
"47",543.570940583748,-71.3561030587687,87.6921561042835,1.19056757927571
"48",567.484297645151,-123.819363686892,78.3142072195956,0.761914769128902
"49",623.092601358269,-86.0422315976225,166.279285565318,0.406542276488329
"50",582.487817382826,-80.2867939322317,96.6254758089532,0.698624872378433
"51",648.995117624222,-158.850488273517,117.847446457224,0.481459734967753
"52",533.947064983732,-71.1073688244974,68.202684928597,1.2439465783736
"53",594.105509962514,-132.772196385783,98.6522457553533,0.54697832777829
"54",626.325805428975,-132.941655636732,112.115196108184,0.537331530540993
"55",597.37152397878,-129.100820564953,99.9390733587686,0.72573042127069
"56",603.296058595536,-116.048248079432,118.87587611229,0.677912166137255
"57",522.608534327376,-53.8146310266977,60.3511956732011,0.980841469464791
"58",582.313773811477,-57.9053704855778,100.988905440273,0.483065309171222
"59",611.038230548104,-73.6863940151766,139.72170530044,0.704028702534205
"60",571.663451361916,-46.4984073441102,95.6177150587433,0.28827037206713
"61",596.425507613802,-80.7944582297843,135.39396937789,0.764407835222444
"62",664.412349022595,-173.325160253023,149.785053109589,0.468275756924829
"63",653.827961300127,-241.760135284325,126.665163926023,0.778367987033676
"64",599.558573531764,-97.8693419994546,99.5902726395896,0.395373573830394
"65",538.273615256997,4.77060091540719,106.32594899053,0.455738841813784
"66",597.872703016107,-106.518827853493,96.0488099083011,0.372589582722765
"67",570.437655161157,-78.2411681906296,105.384258180518,0.712731092849452
"68",570.748651686566,-104.97235372052,110.124292499253,0.437092544317259
"69",597.590840115774,-84.4039065079414,144.0302393508,0.887877909204662
"70",623.327105477278,-105.772057648186,134.003400490501,0.627067826652155
"71",560.847258976082,-49.1493628047437,87.0916672845475,0.71352634242243
"72",632.84012553076,-195.828942174996,135.878241672384,0.733760572041505
"73",562.536397726002,-83.2527435877562,96.7786346497452,0.808879300910951
"74",602.364125737918,-64.4703421282328,126.749479463581,0.725502670978245
"75",587.584498633665,-76.6399435555637,119.967043443068,0.467893917013895
"76",620.754369213356,-90.4225913452481,113.467461651775,0.506030778689617
"77",595.39493488303,-100.796228440751,109.438178098061,0.811293359814537
"78",598.539030270012,-136.054555454807,99.4955720506844,0.772618919114552
"79",570.446151424607,-88.6873766945729,95.0951710606907,0.705604777422287
"80",612.5779264687,-137.128300479028,104.848433464956,0.48310532634178
"81",580.718991687953,-62.689507510184,110.538139729868,0.599341854647734
"82",609.870929576334,-177.66686462483,120.51371655339,0.917467562025926
