"","u","s","xi"
"1",549.881628202555,141.643681882596,0.916678621637758
"2",571.246038638347,134.082585691427,0.586643560955323
"3",560.97042020477,172.156398585438,1.08548768528437
"4",513.98901779034,95.3335557206977,0.617802944927637
"5",572.196471116373,171.968185636645,0.249503694343389
"6",542.86343695434,117.453429703698,0.55118709258986
"7",537.995342432699,129.631156769137,0.484788362593974
"8",561.760683827398,139.943131161757,0.487458394780348
"9",549.351779589757,128.285062887506,0.693470547153413
"10",541.477741452745,144.225457603021,0.639241905326087
"11",560.319997761586,138.09680590665,0.694264286523882
"12",606.486602931048,189.917788403551,0.491054728146126
"13",552.227449273354,114.506900082228,0.628773266928677
"14",558.627604920791,133.627743547243,0.344453736244391
"15",606.382661446108,146.27602904787,0.325215328633114
"16",528.991851387507,114.276356265316,0.441092965432289
"17",598.428265156357,134.040069602651,0.152749074530236
"18",505.589962031505,123.759831438302,0.821700152166364
"19",552.493549228996,136.592280353926,0.892381265077494
"20",602.692521336712,215.887638556672,0.917053440936571
"21",550.42864833035,135.690640687795,0.424489984324407
"22",595.023063038536,164.267621172017,0.678499370426458
"23",643.187968255246,263.909454621916,0.513488910228948
"24",564.666069269175,125.288418218866,0.608737350214414
"25",555.586355286965,131.291878977315,0.495137469253088
"26",540.846708932138,97.0123584023217,0.579023248383455
"27",536.190261772837,122.410162787635,0.566054454502787
"28",583.372627192783,129.305056094038,0.132864092796207
"29",534.227251746136,131.922638861397,0.606496547786339
"30",553.953487656583,121.999445518961,0.442114770147702
"31",579.989998514395,128.68388979411,0.369821598896468
"32",587.195539332735,201.324689726569,0.386785999101571
"33",551.382877867446,115.317560867142,0.668135540938613
"34",552.076877259954,109.775778128918,0.377096881903204
"35",538.77010773931,123.407949739369,0.83196655122764
"36",559.597806627461,136.726702835451,0.299675575577409
"37",555.40485667021,126.897192862035,0.438752509828145
"38",565.282663945047,102.323010271762,0.357977200057937
"39",551.956737647848,114.967658153286,0.414051462511063
"40",588.482139572896,165.151737744705,0.85991837277748
"41",635.424222961578,183.018788514837,0.0502868648222399
"42",560.948715893034,126.609033294852,0.535751537490646
"43",556.45673595406,117.797140703743,0.459318813253848
"44",528.221163054244,93.6624613308603,0.607264128641798
"45",543.71181305745,136.035280251354,0.65651111430929
"46",522.649351560069,96.5024709750485,0.737890091801236
"47",558.413854739026,128.813121773582,0.707882996029028
"48",587.579165584397,155.431394149017,0.408878988364282
"49",574.329435962494,115.242424445365,0.475165432575649
"50",587.341552981178,174.14487970657,0.536760105962647
"51",547.725415512589,113.054720832693,0.338195564486115
"52",537.95135740449,114.261882103768,0.552735605268991
"53",563.799554170694,114.503368953673,0.468821213618378
"54",516.170141650479,83.7482174916406,0.414950901841705
"55",561.771037903751,128.36124565776,0.261402664313886
"56",555.467734723835,133.639950422254,0.551638134280256
"57",564.190371700961,120.501676871049,0.376149756784529
"58",575.644901835649,185.511041019985,0.778678271269085
"59",558.161030399472,211.707309881928,0.183860930944712
"60",514.575642573982,113.172587715981,0.640853401210897
"61",533.017663781721,113.331726097802,0.585653780912911
"62",567.231350334915,115.536086738639,0.379036812023192
"63",603.099540720403,165.242788834243,0.524829333388354
"64",591.782596821618,142.711673945894,0.278393952669814
"65",552.142164807105,112.340225386283,0.602578356740128
"66",529.86401077546,87.1179918369303,0.496312106737801
"67",583.215717916247,156.248081575137,0.730484069953158
"68",548.676013070207,121.908646221685,0.551288828235043
"69",581.012285878622,159.614941101489,0.600954235247664
"70",507.101615606791,96.8100602668732,0.785874859044778
"71",535.414080303891,135.014737866947,0.909959918677452
"72",519.000414171796,102.651883850702,0.86058723895318
"73",566.456332749376,140.577096953322,0.558258447505909
"74",520.655247667804,101.865829776384,0.679346018534621
"75",566.950745705292,126.591475817257,0.541439276085683
"76",561.650879269811,115.259991598255,0.381035390343767
"77",573.741145924767,113.36857082911,0.320207603745879
"78",553.018231975319,123.770092492004,0.323443902476617
"79",552.08871144927,121.665643647485,0.353231112375664
"80",633.31304854058,197.089492060908,0.21412026675566
"81",523.048834745257,101.920602579413,0.397369973733942
"82",554.845496258951,97.4957686978827,0.31449185266786
"83",539.978824144593,134.321026463406,0.225962681331982
"84",546.50467450094,120.057142442548,0.559972757261441
"85",555.242136148469,134.674503861876,0.699843205369274
"86",646.903807257534,228.199401228812,0.181262800308025
"87",561.021112095367,110.203699341514,0.413336739887701
"88",550.560310800849,142.228670281956,0.375064571385855
"89",540.172907153165,107.963446080596,0.585329660632039
"90",551.856781279607,111.778324167671,0.392881246962096
"91",513.20687503225,90.0099299830385,0.635665029286544
"92",541.480913427002,136.839115364707,0.41392652429276
"93",585.55443462185,170.472614940321,0.492327297409003
"94",607.524517365802,184.074406368768,0.809793816264625
"95",569.435474440563,121.502921109024,0.447731664732375
"96",557.880425530975,137.73643766262,0.743985623938356
"97",536.336015736037,147.439586079584,0.614988445352324
"98",570.992219827774,149.580771513277,0.373561086226226
"99",636.861956358546,178.84058409856,0.504199120570015
"100",555.355065478258,139.926190005497,0.640210559106786
"101",543.928619682473,155.75068723578,0.657109881716205
"102",568.644623251072,122.033164390774,0.318962929781106
"103",537.03340125583,115.482124162906,0.717011717470428
"104",578.424685263132,182.240811239698,0.908593144393366
"105",572.80350038057,111.993549368388,0.305597018077773
"106",511.322465745639,86.7170129124588,0.508922653312141
"107",579.752569686767,143.603191596909,0.43927436740173
"108",533.346058795405,124.239929694399,0.417517237529718
"109",521.13545713826,72.4990284303072,0.321402750891097
