"","u0","u1","s","xi0","xi1"
"1",642.299040007473,-66.9021102706102,227.671991976626,1.75335996546897,-1.59432054142107
"2",630.246380246206,-197.752938233254,140.168067333989,0.121402041852543,2.71525995431153
"3",571.759278293097,-70.5089969891796,114.399807125304,0.342616990640988,0.533637543424349
"4",578.505939226086,-54.7284532555223,134.481616556461,1.31945146873775,-0.292135233680057
"5",464.756783438576,209.729517888846,200.167148715865,1.14760910594968,-1.21744045702227
"6",567.394435661475,-47.3627566238705,110.750447903527,0.83963206282445,-0.110705376589584
"7",542.24305260343,74.0269850886771,168.739511793544,1.60124309016632,-1.46641649171218
"8",665.194873210825,-133.635845415883,153.438984042831,-0.334473195783916,1.39014896127801
"9",606.190946198759,-186.746451821005,78.102167638421,-0.0254024257473505,2.08962712905494
"10",650.619325772537,-137.678041855287,161.463378571258,0.370239091679786,1.30024248709062
"11",584.656956210096,-137.85028786671,108.049888047701,0.231528132558378,1.26578840341554
"12",644.975335995052,-169.526141655075,124.073210429092,0.143057792996089,0.726093732753837
"13",524.857610437488,3.87834349217103,132.132322946137,-0.172998932809398,1.42104514036183
"14",561.548363636703,-98.0745446728885,101.963174747136,0.299999900218289,1.69005209451504
"15",632.589287535374,-210.893442836255,103.644053379654,0.100313943973531,1.10661913239118
"16",568.791904521591,-87.665539713663,68.2262501000887,0.141795281383716,0.748345334382128
"17",549.97129425801,-38.5179857240377,116.540699954047,0.699080510887618,-0.0651290779381489
"18",623.701130992096,-159.790204135092,140.536154614616,0.132058741966284,3.07404191403579
"19",587.200193386431,-135.80392186838,99.2974214500462,1.16740359779415,-0.4548965860401
"20",536.415991250354,77.8738505895855,156.728193214607,1.7577826909482,-2.42619307937641
"21",666.172337931947,-216.541360174553,231.902258582395,1.02386003568269,0.854476416508336
"22",622.525928844506,-116.240556593605,126.873841240951,0.560867728373572,0.557706723062164
"23",553.511252149576,-109.996427118316,63.685670788442,0.023509803483084,2.64200169449906
"24",595.069704339998,-146.694883801779,96.9798968506514,-0.467464348285799,3.95112996174906
